Date,Weight (kg),Removals,Weighted Removals
2019-11-23,6.295,2,1
2019-11-24,6.47,1,1
2019-11-25,21.218,4,3
2019-11-26,13.452,2,2
2019-11-27,0.0,0,0
2019-11-28,0.0,0,0
2019-11-29,0.0,0,0
2019-11-30,0.0,0,0
2019-12-1,1.776,1,1
2019-12-2,23.536,2,1
2019-12-3,24.183,2,1
2019-12-4,17.605,2,1
2019-12-5,21.617,2,1
2019-12-6,19.922,3,1
2019-12-7,11.03,1,1
2019-12-8,10.444,0,0
2019-12-9,38.432,3,2
2019-12-10,18.105,4,1
2019-12-11,21.003,1,1
2019-12-12,25.288,3,1
2019-12-13,2.664,1,0
2019-12-14,0.0,0,0
2019-12-15,0.0,0,0
2019-12-16,0.0,0,0
2019-12-17,0.0,0,0
2019-12-18,0.0,0,0
2019-12-19,0.0,0,0
2019-12-20,0.0,0,0
2019-12-21,0.0,0,0
2019-12-22,0.0,0,0
2019-12-23,0.0,0,0
2019-12-24,0.0,0,0
2019-12-25,0.0,0,0
2019-12-26,0.0,0,0
2019-12-27,0.0,0,0
2019-12-28,0.0,0,0
2019-12-29,0.0,0,0
2019-12-30,0.0,0,0
2019-12-31,0.0,0,0
2020-1-1,0.0,0,0
2020-1-2,0.0,0,0
2020-1-3,0.0,0,0
2020-1-4,0.0,0,0
2020-1-5,0.0,0,0
2020-1-6,0.0,0,0
2020-1-7,0.0,0,0
2020-1-8,22.781,2,1
2020-1-9,24.309,2,1
2020-1-10,18.258,1,1
2020-1-11,9.1,2,2
2020-1-12,9.902,2,1
2020-1-13,0.0,0,0
2020-1-14,0.0,0,0
2020-1-15,0.0,0,0
2020-1-16,0.0,0,0
2020-1-17,0.0,0,0
